Era,Year,Event,Description,Significance
Ancient India,-,"Dharma and Neeti","Legal system based on Dharma (duties) and Neeti (ethics). Arthashastra by Kautilya discusses law and punishment.","Foundation of moral and ethical legal principles in India."
Mughal Era,1600s,"Fatawa-e-Alamgiri","Compilation of Islamic law under Emperor Aurangzeb, governing criminal justice and personal laws."," codified Islamic legal principles in India."
Colonial Era,1773,"Regulating Act of 1773","Established the Supreme Court at Calcutta, marking the beginning of a formal British legal system in India.","Introduction of English common law elements in India."
Colonial Era,1833,"First Law Commission","Established under Lord Macaulay to codify Indian laws.","Led to the drafting of the IPC."
Colonial Era,1860,"Indian Penal Code (IPC) Enacted","Comprehensive code covering substantive criminal law, drafted by Lord Macaulay. Came into force in 1862.","The backbone of Indian criminal law for over 160 years."
Colonial Era,1861,"Police Act, 1861","Established the organized police force structure in India.","Created the modern police system."
Colonial Era,1872,"Indian Evidence Act","Codified the rules of evidence admissibility in Indian courts, drafted by Sir James Fitzjames Stephen.","Standardized evidentiary rules."
Colonial Era,1898,"Code of Criminal Procedure (CrPC, 1898)","First comprehensive code for criminal procedure, consolidating various acts.","Laid the procedural framework for criminal trials."
Post-Independence,1950,"Constitution of India","Came into force on Jan 26, 1950. Established India as a Republic and guaranteed Fundamental Rights (Articles 14-32).","Supreme law of the land, source of all legal authority."
Post-Independence,1973,"Code of Criminal Procedure (CrPC, 1973)","Replaced the 1898 Code. Separated Judiciary from Executive. Introduced Anticipatory Bail (Section 438).","Modernized criminal procedure and enhanced judicial independence."
Judicial Milestone,1978,"Maneka Gandhi v. Union of India","Supreme Court expanded Article 21, creating the 'Due Process' doctrine. Procedure established by law must be fair, just, and reasonable.","Cornerstone of personal liberty jurisprudence."
Judicial Milestone,1978,"Moti Ram v. State of MP","Justice Krishna Iyer declared 'Bail is the rule, jail is the exception'. Criticized excessive surety demands.","Humanized bail jurisprudence."
Legislative Reform,1983,"Section 498A IPC Introduced","Criminalized cruelty by husband or relatives aginst a woman.","Addressed domestic violence and dowry deaths."
Legislative Reform,1985,"NDPS Act Enacted","Narcotic Drugs and Psychotropic Substances Act. Introduced strict liability and stringent bail conditions (Section 37).","War on drugs legislation with strict penal provisions."
Judicial Milestone,1997,"Vishaka Guidelines","Supreme Court guidelines against sexual harassment at workplace.","Precursor to the POSH Act, 2013."
Legislative Reform,2002,"PMLA Enacted","Prevention of Money Laundering Act. Introduced strict twin conditions for bail (Section 45).","Addressed economic crimes and terrorist financing."
Legislative Reform,2005,"CrPC Amendment (Section 436A)","Introduced Section 436A to release undertrials who have served half the maximum sentence.","Relief for poor undertrials ensuring right to speedy trial."
Legislative Reform,2012,"POCSO Act Enacted","Protection of Children from Sexual Offences Act. Gender-neutral law protecting children.","Special courts and child-friendly procedures."
Legislative Reform,2013,"Criminal Law (Amendment) Act (Nirbhaya Act)","Expanded definition of rape, introduced new offences (stalking, voyeurism), and increased punishments.","Strengthened laws against sexual violence."
Judicial Milestone,2014,"Arnesh Kumar v. State of Bihar","Supreme Court guidelines to check automatic arrests in cases with punishment up to 7 years. Mandated Section 41A Notice.","Prevented unnecessary arrests and harassment."
Judicial Milestone,2017,"K.S. Puttaswamy v. Union of India","Right to Privacy declared a fundamental right under Article 21.","Expanded the scope of personal liberty."
Judicial Milestone,2018,"Navtej Singh Johar v. Union of India","Decriminalized consensual homosexual acts (Section 377 IPC).","Victory for LGBTQ+ rights and personal autonomy."
Recent Reform,2023,"New Criminal Laws Passed","Bharatiya Nyaya Sanhita (BNS), Bharatiya Nagarik Suraksha Sanhita (BNSS), and Bharatiya Sakshya Adhiniyam (BSA) passed to replace IPC, CrPC, and Evidence Act.","Decolonization of Indian criminal justice system."
Recent Reform,2024,"New Laws Come into Force","BNS, BNSS, and BSA effectively replaced the colonial-era codes from July 1, 2024. Introduced e-FIR, community service, and terrorism definitions.","Major overhaul of the criminal justice administration."
