case_title,court,date,judgment_text,sections_cited,case_id
"Satender Kumar Antil v. CBI","Supreme Court","2022-07-11","The Court laid down comprehensive guidelines for arrest and bail. It categorized offences into A, B, C, D categories. Held that bail is the rule and jail is the exception. Strict compliance with Section 41 and 41A CrPC mandated. For offenses punishable with 7 years or less, arrest only if conditions in Section 41(1)(b) satisfied.","CrPC 41, CrPC 41A, CrPC 88, CrPC 170, CrPC 436, CrPC 437, CrPC 439","SC_SKA_2022"
"Arnesh Kumar v. State of Bihar","Supreme Court","2014-07-02","Landmark judgment on Section 498A IPC and Section 41 CrPC. Police cannot automatically arrest in cases with punishment up to 7 years. Must issue Notice of Appearance under Section 41A CrPC. Magistrate must not authorize detention mechanically without perusing police report recording reasons for arrest.","CrPC 41, CrPC 41A, IPC 498A, CrPC 167","SC_AK_2014"
"Sanjay Chandra v. CBI (2G Spectrum Case)","Supreme Court","2011-11-23","The Court emphasized that the object of bail is to secure the appearance of the accused at trial. Seriousness of the charge is not the only factor. Pre-trial detention has punitive consequences. Economic offences are not to be treated as a distinct class for denying bail.","CrPC 437, CrPC 439","SC_SC_2011"
"Gurbaksh Singh Sibbia v. State of Punjab","Supreme Court","1980-04-09","Constitution Bench judgment on Anticipatory Bail (Section 438 CrPC). Held that the power is of wide amplitude and should not be hemmed in by restrictions not found in the statute. Anticipatory bail is not limited to a fixed period.","CrPC 438","SC_GSS_1980"
"Sushila Aggarwal v. State (NCT of Delhi)","Supreme Court","2020-01-29","Reaffirmed Gurbaksh Singh Sibbia. Held that anticipatory bail need not be time-bound and can continue till the end of the trial. Limits on anticipatory bail should be imposed only in special circumstances.","CrPC 438","SC_SA_2020"
"P. Chidambaram v. Directorate of Enforcement","Supreme Court","2019-12-04","Granted bail in PMLA case. Held that even in economic offences, bail is the rule. Gravity of offence is a factor but not the sole ground to deny bail. Triple test (flight risk, tampering, influencing witnesses) satisfied.","PMLA 45, CrPC 439","SC_PC_2019"
"Vijay Madanlal Choudhary v. Union of India","Supreme Court","2022-07-27","Upheld the constitutionality of PMLA Section 45 twin conditions. Held that stringent bail conditions in special statutes like PMLA are not unconstitutional given the object of check money laundering.","PMLA 45, PMLA 3, PMLA 4","SC_VMC_2022"
"Tofan Singh v. State of Tamil Nadu","Supreme Court","2020-10-29","Held that officers of Narcotics Control Bureau (NCB) are police officers and confessions made to them under Section 67 NDPS Act are inadmissible in evidence.","NDPS 67, Indian Evidence Act 25","SC_TS_2020"
"Rhea Chakraborty v. Union of India (Bombay HC)","Bombay High Court","2020-10-07","Granted bail in NDPS case. Held that Section 27A (financing illicit traffic) was not applicable. Mere payment for drugs for consumption does not amount to financing illicit traffic.","NDPS 27A, NDPS 37","BHC_RC_2020"
"Manish Sisodia v. CBI","Supreme Court","2023-10-30","Denied bail in Excise Policy case. Observed that a prima facie case was made out. However, directed trial to be completed in 6-8 months, else liberty to apply for bail again.","PMLA 45, CrPC 439","SC_MS_2023"
"Moti Ram v. State of Madhya Pradesh","Supreme Court","1978-08-24","Justice Krishna Iyer famously stated 'Bail not Jail'. Criticized the demand for excessive surety amounts from indigent accused, calling it a denial of bail.","CrPC 436, CrPC 437","SC_MR_1978"
"State of Kerala v. Raneef","Supreme Court","2011-01-03","Held that delay in concluding the trial is a valid ground for granting bail, even in serious offences involving UAPA/terrorism charges.","UAPA 43D(5)","SC_SKR_2011"
"Union of India v. K.A. Najeeb","Supreme Court","2021-02-01","Held that statutory restrictions on bail (like UAPA Section 43D(5)) do not oust the Constitutional Court's power to grant bail on grounds of violation of Article 21 (Speedy Trial) if there is prolonged incarceration without trial.","UAPA 43D(5), Constitution Art 21","SC_UOI_2021"
"Gudikanti Narasimhulu v. Public Prosecutor","Supreme Court","1977-12-06","Elaborated on the philosophy of bail. Personal liberty is too precious to be squandered. Bail conditions must be reasonable, not elusive.","CrPC 439","SC_GN_1977"
"Dataram Singh v. State of Uttar Pradesh","Supreme Court","2018-02-06","Emphasized humane approach to bail. A person is innocent until proven guilty. Prolonged imprisonment without trial is punitive.","CrPC 437, CrPC 439","SC_DS_2018"
